Link,Title,Description,Primary Category,Secondary Category,Tertiary Category
"""https://clinicaltrials.gov/show/NCT03529903"",","""MyLife: A Digital Health Coaching Program"",",""" Lifestyle behaviors such as sleep, diet, and physical activity, are implicated in a number of chronic conditions including hypertension, obesity, diabetes, heart failure, and obstructive sleep apnea. Research shows that despite awareness of this fact, patients at risk for lifestyle-related chronic diseases have difficulty adhering to lifestyle change recommendations made by their physicians, and face challenges when attempting to modify unhealthy behaviors. New technologies, such as wearable activity trackers and automated text messaging, are promising tools for monitoring and promoting healthy lifestyle behaviors among patients. This randomized controlled trial will evaluate the effect of a digital health program, which uses pre-medical post-baccalaureate or undergraduate health coaches, wearable activity trackers (Fitbit Charge 2), and mobile messaging, compared to wearable activity trackers (Fitbit Charge 2) alone in promoting lifestyle change among overweight and sedentary 18-64 year old patients recruited from UCLA Health primary care clinics. "",",Bariatrics,Endocrinology,Cardiology
"""https://clinicaltrials.gov/show/NCT04587882"",","""Virtual AppLication-supported ENvironment To INcrease Exercise During Cardiac Rehabilitation Study"",",""" The researchers are trying to determine whether a smartwatch and a mobile application, which together deliver activity and goal setting notifications, can increase activity levels for patients enrolled in cardiac rehabilitation. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT04899622"",","""Mindfulness Online and Virtual Exercise (MOVE) Compared With Self-Management for Chronic Pain"",",""" The aim of this study is to assess the feasibility and acceptability of a combined Mindfulness Based Stress Reduction (MBSR) and exercise online programme compared to an online self-management guide. Pain management programmes are the recommended treatment for chronic pain, however a number of barriers to their widespread implementation have been identified including geographical distance from speciality programmes, functional disability limiting the mobility of people with CP and economic limitations(1). eHealth interventions have the potential to address a number of these barriers and recent reviews have reported reductions in pain(2), improved knowledge and understanding about chronic pain and chronic pain management, improved function(3) and improvements in quality of life(4) following eHealth interventions. The intervention in this study will be delivered online. Participants will be randomly allocated to a combined MBSR and exercise programme (Group A) or an online self-management guide (Group B). Group A will take part in an 8 week live online weekly mindfulness sessions based on the Mindfulness Based Stress Reduction (MBSR) programme facilitated by a qualified mindfulness teacher, in addition to a supervised exercise classes led by a Physiotherapist. Group B will receive access to an 8 week online self-management guide containing 8 self-directed guides, which will be made available to participants biweekly. Outcomes of feasibility and acceptability will be investigated in addition to a preliminary examination of between group clinical effects at baseline immediately post intervention and at a three month follow up, using validated patient reported outcome measures. In addition all participants will wear a Fitbit activity monitor for the duration of the eight-week interventions to capture activity measures. A qualitative study will also be conducted to gather participants' perceptions of the programme and its usefulness "",",Chronic pain / diseases,General Physiology,Psychiatry
"""https://clinicaltrials.gov/show/NCT05009459"",","""eVISualisation of Physical Activity and Pain (eVIS) for Patients With Chronic Pain"",",""" Introduction: Living with chronic pain often involves negative consequences. Interdisciplinary Pain Rehabilitation Programs (IPRPs), a subset of Interdisciplinary Treatment (IDT) includes physical activity and exercise and is considered superior to single-treatment measures in patients with chronic pain. However, effects emerge sub-optimal and as many as 30% of patients deteriorate in some outcomes. A novel intervention, eVISualisation (eVIS) of physical activity and pain, has been systematically developed to facilitate patients in reaching and maintaining recommended individualized physical activity levels. The aim is to transparently report on methodology, outcome assessments, and processes for a registry-based randomized controlled trial (R-RCT) initiated as an internal pilot study. Methods and analysis: The R-RCT will recruit approximately 400 patients with chronic pain who are registered at primary and specialized IPRP units (n=15) in Sweden. Participants will be randomly allocated to either an IPRP + eVIS or the control group that will receive only IPRP treatment. eVIS entails objectively measured physical activity (steps) and patient-reported outcomes (pain intensity, affect on daily activities, pharmaceutical consumption) collected and visualized in the web application PATRON. Data from an initial 30 participants completing the study period (6 months) will be included in a pilot study designed to evaluate recruitment- and randomization processes, standardized effect size, sample size, characteristics of outcomes, follow-up rates of the R-RCT. Outcome variables will be extracted from PATRON and from six national registries. Multivariate statistics and repeated measures analyses will be performed. Quality Adjusted Life Years (QALYs) and Incremental Cost Effectiveness Ratio (ICER) will be calculated for cost effectiveness evaluation. Ethics/dissemination: The Swedish Ethics Review Board granted approval (Dnr 2021/02109). Results will be disseminated through peer-review journals. "",",Chronic pain / diseases,General Physiology,
"""https://clinicaltrials.gov/show/NCT05006729"",","""Risk Underlying Rural Areas Longitudinal Cohort Study (RURAL) Heart and Lung Study"",",""" The University of Texas Health Science Center at San Antonio (UTHSCSA) will serve as the site for the RURAL Study Coordinating Center, led by PI Vasan Ramachandran, MD. The primary function of the Study Coordinating Center (SCC) is to serve as an administrative liaison between all of the RURAL study's cores. The SCC schedules, facilitates, and hosts, all RURAL meetings including preparation for Observational Study Monitoring Board (OSMB) meetings, and maintains direct communication with the study's program officers at NHLBI. The SCC monitors the overall progress of RURAL and keeps all RURAL cores abreast of study updates through meetings, emails, newsletters. It also maintains the official RURAL website and serves as an administrator for investigators seeking to collaborate with RURAL through the submission of Ancillary Studies. The SCC will have no direct interaction with any participants, nor will it have access to identifiable data. "",",Other,Cardiology,Pulmonology
"""https://clinicaltrials.gov/show/NCT03290768"",","""Continuous Glucose Monitors to Regulate Glucose Levels in Type 2 Diabetics - (Protocol 3)"",",""" This study allows Type 2 diabetics to receive feedback from a continuous glucose monitor (CGM) as part of an educational program designed to help them better manage their glucose levels. Subjects will also wear an activity tracker to monitor their activity and observe its effect on their glucose levels. The educational program will involve calls from coaches to check subjects' progress and answer questions. "",",Endocrinology,,
"""https://clinicaltrials.gov/show/NCT03299205"",","""Alcohol & Metabolic Comorbidities in PLWHA: Evidence Driven Interventions"",",""" Cross-sectional and prospective studies are proposed to test the prediction that a higher proportion of HIV+ individuals with hazardous alcohol drinking with subclinical fasting dysglycemia will present with impaired oral glucose tolerance and dysfunctional metabolic skeletal muscle phenotype. Prospective studies will test the efficacy of an exercise intervention in improving glycemic control. Results will inform larger scale interventions to ameliorate metabolic comorbidities, improve health, quality of life, and possibly decrease hazardous alcohol drinking. "",",Endocrinology,General Physiology,
"""https://clinicaltrials.gov/show/NCT03841682"",","""Engaging Self-regulation Targets to Improve Mood and Weight and Understand Mechanism in Depressed and Obese Adults"",",""" Multimorbidity (i.e., the coexistence of 2 or more chronic conditions in an individual) is increasingly recognized as a pressing public health problem. Effective interventions targeting coexisting depression and obesity are critical given the high prevalence and worsened outcomes for patients with both conditions. ENGAGE-2 is a pilot randomized controlled trial (RCT). The objective is to investigate the outcomes and mechanisms of an integrated depression and obesity intervention that combines collaborative stepped depression treatment and evidence-based behavioral weight loss treatment. The Integrated Coaching for Better Mood and Weight-2 (I-CARE2) intervention synergistically integrates 2 proven national programs: the Program to Encourage Active and Rewarding Lives (PEARLS) for depression care and the Group Lifestyle Balance (GLB) program for weight loss and cardiometabolic risk reduction. In Phase 1 of the ENGAGE project, investigators developed a new protocol to quantify activation and connectivity of the Affective, Cognitive Control, and Default Mode brain circuits from functional magnetic resonance imaging (fMRI) among 108 depressed obese patients. Investigators implement the same fMRI protocol in this second phase of the project to examine the mechanistic role of these brain circuits as potential neural targets in treatment engagement and response in the I-CARE2 intervention. A new sample of 105 depressed obese patients are randomized in a 2:1 ratio to receive the I-CARE2 intervention (n=70) or usual care (n=35). Study assessments occur at 0 (baseline), 2 and 6 months. Investigators hypothesize that 1 or more of the neural targets under study will moderate (baseline state) and/or mediate (change at follow-up) the effect of the I-CARE2 intervention versus usual care on health behaviors (problem-solving ability, dietary intakes, physical activity) and clinical outcomes (weight loss, depression, anxiety). "",",Bariatrics,Psychiatry,Chronic pain / diseases
"""https://clinicaltrials.gov/show/NCT03845283"",","""Creating an Optimized Technology-Based Weight Loss Program for Cardiac Rehabilitation Patients"",",""" Cardiovascular disease (CVD) is the leading cause of death in the United States. Cardiac rehabilitation (CR) is the main treatment for heart attacks and other types of CVD. It is based on science, it saves money, and it is widely-available. Each session (of which there are a few each week for 3 months) combines supervised exercise and instruction. The goals are to improve overall health and reduce cardiovascular risk in individuals with established CVD. CR produces almost no weight loss (WL); if a person has excess weight while in CR (the majority of participants have overweight or obesity), losing weight could really reduce their risk of having another heart attack. The best treatment available for weight loss, in-person behavioral weight loss interventions (BWLs), produce enough WL that they improve health and disease risk/severity. However, in-person BWLs are too much work to be carried out in CR. A previous fully automated 3-month online program, Rx Weight Loss (RxWL), produced good WL in many different settings. Dr. Goldstein aims to tailor RxWL for use in CR. The study will use the Multiphase Optimization Strategy (MOST) to test innovative eHealth/mHealth intervention components that might work well for people when combined with RxWL. The study will include 160 patients (each randomized to receive 0-4 of the components). The components are: (a) a Fitbit with a goal-setting program; (b) a bite counting device; (c) a Web-based virtual reality (VR) intervention ; and (d) virtual meetings. By the 6-month follow-up, the investigators will know if any of those 4 components helped people lose more weight. If a component produced at least 2% WL, it will be studied further by being included in a new intervention to be tested in the next study. "",",Cardiology,Bariatrics,
"""https://clinicaltrials.gov/show/NCT04230967"",","""Ambulation for Latency During Expectant Management of PPROM"",",""" Ambulation in pregnancy has been proposed to decrease stress and anxiety, increasing preterm birth. Whether ambulation is causally related to latency is unknown. The FitBit will be used for tracking the number of steps taken daily by each participant, and for encouraging the intervention group to walk. The FitBit is the most widely used physical activity tracker in medical research, and its use has been validated for research use in pregnant women. The purpose of the study is to evaluate whether ambulation in patients with preterm premature rupture of the membranes (PPROM) prolongs latency. "",",Obstetrics,General Physiology,
"""https://clinicaltrials.gov/show/NCT03558828"",","""Testing Adaptive Interventions to Improve Physical Activity for Sedentary Women"",",""" This study employs a Sequential Multiple Assignment Randomized Trial (SMART) and aims to determine the most effective adaptive intervention combining four efficacious treatments (enhanced physical activity monitor, motivational text messages, motivational personal calls, group meetings) to increase physical activity and improve cardiovascular health among sedentary employed women. "",",Cardiology,General Physiology,
"""https://clinicaltrials.gov/show/NCT03558217"",","""Collared Versus Collarless Femoral Implants for Total Hip Arthroplasty"",",""" This is a randomized control trial that will investigate whether a collared hip replacement implant provides greater stability compared to a collarless option. Stability will be measured by implant migration with radiostereometric analysis (RSA) imaging. Secondary objectives will be to compare function, quality of life and cost between the two implant types. We will also compare between two different surgical approaches, the direct anterior and direct lateral. "",",Other,General Physiology,
"""https://clinicaltrials.gov/show/NCT04518566"",","""Empowering Patients With Chronic Disease Using Profiling and Targeted Feedbacks Delivered Through Wearable Device"",",""" Chronic diseases are the leading cause of deaths in Singapore. The rising prevalence in chronic diseases with age and Singapore's rapidly aging population calls for new models of care to effectively prevent the onset and delay the progression of these diseases. Advancement in medical technology has offered new innovations that aid healthcare systems in coping with the rapid rising in healthcare needs. These include mobile applications, wearable technologies and machine learning-derived personalized behaviorial interventions. The overall goal of the project is to improve health outcomes in chronic disease patients through delivering targeted nudges via mobile application and wearable to sustain behavioral change. The objective is to design, develop and evaluate an adaptive interventional platform that is capable of delivering personalized behavioral nudges to promote and sustain healthy behavioral changes in senior patients with diabetes. The aim is to assess the clinical effectiveness of real-time personalized educational and behavioral interventions delivered through wearable (FitBit) and an in-integrative mobile application in improving patient activation scores measured using the patient activation measure (PAM). Secondary outcome measures include cost-effectiveness, quality of life, medication adherence, healthcare cost, utilization and lab results. Together with the experts from the SingHealth Regional Health System and National University of Singapore, the investigators will conduct a randomized controlled trial of 1,000 eligible patients. This proposal aims to achieve sustainable and cost-effective behavioral change in diabetes patients through patient-empowerment and targeted chronic disease care. "",",Chronic pain / diseases,General Physiology,Endocrinology
"""https://clinicaltrials.gov/show/NCT04518943"",","""Multiphase Optimization Trial of Incentives for Veterans to Encourage Walking"",",""" Regular physical activity (PA) is essential to healthy aging. Unfortunately, only 5% of US adults meet guideline of 150 minutes of moderate exercise; Veterans and non-Veterans have similar levels of PA. A patient incentive program for PA may help. Behavioral economics suggests that the chronic inability to start and maintain a PA routine may be the result of \""present bias,\"" which is a tendency to value immediate rewards over rewards in the future. With present bias, it is always better to exercise tomorrow because the immediate gratification of watching television or surfing the internet is a more powerful motivator than the intangible and delayed benefit of future health. Patient incentives may overcome present bias by moving the rewards for exercise forward in time. Recent randomized trials suggest that incentives for PA can be effective, but substantial gaps in knowledge prevent the implementation of a PA incentive program in Veterans Affairs (VA). First, incentive designs vary considerably. They vary by the size of the incentive, the type of incentive (cash or non-financial), the probability of earning an incentive (an assured payment for effort or a lottery-based incentive), or whether the incentive is earned after the effort is given (a gain-framed incentive) or awarded up-front and lost if the effort is not given (a loss-framed incentive). The optimal combination of these components for a Veteran population is unknown. Second, the evidence about the effective components of incentives comes from studies conducted in populations that were overwhelmingly female; often employees at large companies, with high levels of education and income. VA users, in contrast, are mostly male and lower income, and most are not employed. This is important because the investigators have theoretical reasons to believe that the effects of components of incentives are likely to vary by income and gender. Finally, few studies have managed to design an incentive such that the physical activity was maintained after the incentive was removed. Indeed, a common theme in incentivizing health behavior change is the difficulty in sustaining behavior change once the incentives are removed. "",",General Physiology,Chronic pain / diseases,
"""https://clinicaltrials.gov/show/NCT04516252"",","""Enhancing BodyWorks: A Canine Health Literacy Module"",",""" Dog ownership can serve as a vehicle for large-scale multi-level public health interventions, especially for pediatric overweight and obesity, due to dogs' unique place in children and adolescents' social networks.This study develops and tests a novel approach to design a Canine Health-Literacy module to enhance a Comprehensive Family Lifestyle Intervention BodyWorks, for dog-owning adolescents who have been diagnosed with overweight or obesity, and their parents. The results are anticipated to make an important step towards addressing the overweight and obesity epidemic among both people and companion dogs in the U.S. "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT04809922"",","""Accuracy of Cardiac Wearables Devices to Detect Atrial Fibrillation"",",""" Atrial fibrillation (AF) is the most common cardiac arrhythmia. This study is to assess the heart rhythm device accuracy of five cardiac wearable devices (Apple Watch, Kardia Mobile/Kardia Mobile 6L, Fitbit Sense, Samsung Galaxy Watch 3 and Withings Scanwatch, Withings SA, Model Number: HWA09) and its detection algorithms in identifying AF compared to a nearly simultaneously acquired physician-interpreted 12-lead ECG in a real world cohort of patients. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT04809974"",","""Clinical Trial of Niagen to Examine Recovery in People With Persistent Cognitive and Physical Symptoms After COVID-19 Illness (Long-COVID)"",",""" The study will assess whether Niagen, a safe dietary supplement, improves recovery of COVID-19 related symptoms in individuals who were infected at least 2 months prior to study entry (\""Long-COVID\"" \""Long-haulers\""). 60% of participants will receive Niagen and 40% will receive PBO. Outcomes will consist of standardized cognitive, neuropsychiatric, physical, functional and biomarker assessments. "",",Other,,
"""https://clinicaltrials.gov/show/NCT04806269"",","""Biosignals by Wearables in Thyroid Dysfunction"",",""" This study is a single center observational study to investigate the association between biosignals from wearables and thyroid dysfunction. "",",Other,,
"""https://clinicaltrials.gov/show/NCT03270124"",","""A pragmatiC sTrategy to Promote actIVity and Enhance Quality of Life AFTER Transcatheter Aortic Valve Replacement"",",""" This study is being performed in patients who have undergone transcatheter aortic valve replacement (TAVR) for aortic stenosis. The goal is to obtain pilot and feasibility data on a novel post-procedure rehabilitation strategy, including a daily activity goal using a fitness tracking device (Fitbit Alta HR) and in-home resistance training exercises targeting muscles related to activities of daily living. We will evaluate the effect of these interventions on physical performance and several quality of life domains. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT03277118"",","""Quantifying Activity Using Wireless Wearable Technology"",",""" Wireless wearable devices (WWD) have been shown to be an effective means to measure patient activity and sleep-wake cycles in the ICU. However, no current studies involving WWD have demonstrated the ability of these devices to measure adverse outcomes, including delirium in critically ill patients. This study is unique because the investigators will implement monitoring with the WWD prior to extubation in the ICU to correctly measure first mobilization, as well as capture quality of sleep and episodes of delirium for the first five postoperative days. "",",Somnology,,
"""https://clinicaltrials.gov/show/NCT05093842"",","""Sedentary Behavior Reduction in Pregnancy Intervention Study"",",""" This pilot and feasibility study will enroll newly pregnant women at risk for high sedentary behavior (SED) and elevated APO risk (n=53) and will randomize them to either a SED reduction intervention or control. Research aims include to: 1) demonstrate our ability to decrease SED and increase standing and light activity in pregnant women; 2) evaluate feasibility; and 3) gather preliminary effects on clinical outcomes including APOs, cardiometabolic risk factors, well-being, and fetal outcomes. "",",Obstetrics,,
"""https://clinicaltrials.gov/show/NCT05752500"",","""Optimization of a Behavioral Intervention to Increase Physical Activity in Older Adults Living With HIV"",",""" The goal of this clinical trial is to examine 3 interventions designed to increase physical activity in older adults with HIV. We will examine 3 potential components of an intervention package: physical activity coaching, cognitive behavioral therapy targeted toward common barriers to physical activity such as low motivation or chronic pain, and a Fitbit-based social support intervention. Our primary outcome will be physical activity, defined as steps per day. Results will guide choice of intervention components to be used in an optimized behavioral intervention. "",",General Physiology,Psychiatry,Chronic pain / diseases
"""https://clinicaltrials.gov/show/NCT03200509"",","""Efficacy of a Multimodal Physical Activity Intervention in Patients With Chronic Nonspecific Low Back Pain"",",""" Physical activity plays an important role in the management of chronic low back pain (LBP). Engaging in an active lifestyle is associated with a better prognosis. Nevertheless, there is evidence to suggest that patients with chronic LBP are less likely to meet recommended physical activity levels. Furthermore, while exercise therapy has been endorsed by recent clinical practice guidelines, evidence from systematic reviews suggests that its effect on pain and disability are at best moderate and not sustained over time. A limitation of current exercises programs for chronic LBP is that these programs are not designed to change patient's behaviour toward an active lifestyle. Therefore, the objective of this study is to investigate the short and long-term efficacy of a multimodal intervention consisting of supervised exercises, health coaching and use of an activity monitor (i.e. Fitbit Flex) compared to supervised exercises plus sham coaching and a sham activity monitor on physical activity levels, pain intensity and disability in patients with chronic nonspecific LBP. "",",Chronic pain / diseases,General Physiology,
"""https://clinicaltrials.gov/show/NCT03208010"",","""Diabetes Prevention for Mexican Americans"",",""" This study tests a culturally tailored lifestyle intervention designed to prevent, or delay onset of, T2DM in Mexican Americans with prediabetes. Half the participants take part in a lifestyle program that emphasizes preparing and eating healthy Mexican-American foods and increasing physical activity; the other half take part in an \""enhanced\"" usual care control group. "",",General Physiology,Endocrinology,
"""https://clinicaltrials.gov/show/NCT04879758"",","""Intervention Study: Genetic Risk Communication and Wearables"",",""" This study aims to determine the effects of communicating genetic risk for type 2 diabetes (T2D) alone or in combination with goal setting and prompts from a wearable device on objectively measured physical activity (PA) and sedentary behavior (SB) in East Asians. It is hypothesized that this combination will lead to significant favorable changes in objectively measured PA and SB, and that such changes will be more likely to be sustained over 6-month follow-up. This study aims to recruit 150 healthy East Asian adults in Hong Kong. At baseline, participants will be invited to visit the research laboratory for measurement of a series of variables including height, body weight, blood pressure and grip strength. Participants will also be invited to complete a set of questionnaires to assess their self-reported PA and SB, fruit and vegetable consumption, smoking status and psychological variables. Blood samples will be collected to analyze key diabetes and cardiovascular disease biochemical markers as well as their estimated genetic risk of T2D. Each individual's unique genetic risk for T2D will be estimated on the basis of established genetic variants associated with T2D specifically for East Asians. Each participant will be asked to wear a Fitbit Charge 4 tracker, an objective activity monitoring device, throughout the entire trial. Participants will be randomly allocated into 3 groups: 1 control and 2 intervention groups. A control group will receive an e-leaflet containing general lifestyle advice for prevention of T2D. An intervention group will receive an estimated genetic risk of T2D, in addition to the e-leaflet. The other intervention group will have a Fitbit step goal set 10% higher than their baseline step count and use prompt functions of the Fitbit tracker, in addition to the genetic risk estimate and e-leaflet. Activity data from the Fitbit will be collected at 4-week post-intervention; information about lifestyle and psychological variables will be assessed through the questionnaires at both immediate and 4-week post-intervention. To determine the longer-term effect of the intervention, participants will be asked to visit the research laboratory 6 months after the intervention to repeat the same set of assessments as baseline, except the blood samples collected at 6-month follow-up are used only to analyze cardiometabolic risk profiles (not genetic risk). Activity levels will also be objectively measured using the Fitbit for 4 weeks. "",",Endocrinology,Bariatrics,Cardiology
"""https://clinicaltrials.gov/show/NCT04878380"",","""hiSG Sleep Health Study"",",""" The hiSG Sleep Health Study seeks to investigate the efficacy of education + goal-based programmes for the promotion of healthy sleep habits and to evaluate its impact on daytime sleepiness and mental health. "",",Somnology,,
"""https://clinicaltrials.gov/show/NCT02315664"",","""MONITOR-OA: Using Wearable Activity Trackers to Improve Physical Activity in Knee Osteoarthritis"",",""" Physical activity is an essential first-line treatment for patients with knee osteoarthritis (OA). However, a 2013 systematic review found only 13% met the activity recommendation of 150 minutes or more per week. The primary goal of this randomized controlled trail is to assess the efficacy of a physical activity counseling model, involving a group education session, the use of Fitbit Flex (a wireless physical activity tracking device), and online/telephone coaching by a physiotherapist (PT), to improve physical activity and reduce sedentary time in patients with knee OA. Engaging in regular physical activity can have the additional benefit of improving cognitive functioning. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT03157713"",","""Financial Incentives for Weight Reduction Study"",",""" Financial incentives for motivating changes in health behavior, particularly for weight loss in obese individuals, are increasingly being tested by health insurers, employers, and government agencies. However, a key unanswered question regarding weight loss is how to structure these incentive programs to maximize their effectiveness, acceptability to patients, and economic sustainability. Focusing on obese patients living in neighborhoods with a high concentration of low socioeconomic status households, the investigators will compare the impact of financial incentives for weight loss on sustained weight loss, use of evidenced-based therapy, and quality of life, and they will determine their short-term and long-term return on investment. "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT04638946"",","""Exercise for Anxiety"",",""" 90 sedentary adults with a primary anxiety disorder and high anxiety sensitivity will be randomized to either 8 weeks of 1) low intensity exercise, or 2) flexible titration to high intensity exercise (HIE). Blinded, validated clinician-rated and patient-rated outcomes will be assessed over treatment and at 1- and 3-month follow-up. To better understand what mechanisms influence decisions to exercise in the real-world, we will use of heart rate (HR) as an objective mechanistic target for exercise intensity, examine changes in valuation of exercise through a neuroeconomics task, examine changes in interoceptive sensitivity with a heartbeat detection task, and integrate of ecological momentary assessment (EMA) to measure effects of immediate changes in mood with exercise on anxiety outcomes and adherence. "",",General Physiology,Psychiatry,Cardiology
"""https://clinicaltrials.gov/show/NCT03124667"",","""Cognitive Regulation Training and Exercise Trial"",",""" The purpose of this double-blinded, randomized controlled study is to compare CORTEX (Cognitive Regulation Training and Exercise), a multi-faceted, center- and home-delivered- general and exercise-specific-active and traditional computerized cognitive training (CT) program to an attention-control condition involving health and wellness informational videos. More specifically, the cognitive training group will emphasize dual-task abilities, working memory, and visual-spatial processing, as well as self-as-exerciser priming and self-certainty training. It is hypothesized that early intervention cognitive training will enhance use of self-regulatory strategies and self-efficacy and in turn, increase exercise adherence to and engagement in a 12-month aerobic and resistive exercise program at a local fitness facility. More positive improvements in cognitive and psychosocial functioning among participants in the CORTEX condition (relative to the Video Attention-Control condition, i.e., health educational videos), are also expected immediately following the cognitive training, and across time. Expectancies and knowledge of study purpose (blinding integrity) will also be measured and used to statistically adjust for any training differences. "",",Psychiatry,General Physiology,
"""https://clinicaltrials.gov/show/NCT03124563"",","""Planning the Next Steps: Using an Implementation Intention Approach to Increase Daily Walking"",",""" The study goal is to design an intervention utilizing implementation intentions to help participants prospectively plan and visualize ways to increase activity for the next day among working adults who do not currently exercise or use an activity monitor. Investigators will assess the level of and changes in physical activity, and how this relates to various individual factors that are related to exercise and health, including self-efficacy, control beliefs, and cognition. "",",General Physiology,Psychiatry,
"""https://clinicaltrials.gov/show/NCT03123731"",","""iSTEP - an mHealth Physical Activity and Diet Intervention for Persons With HIV"",",""" HIV is associated with a pattern of neurocognitive deficits, metabolic dysfunction, and an elevated risk for cardiovascular disease (CVD), phenomena that remain untreated despite the use of medications to control the disease. This proposal will examine the effect of a personalized, automated, interactive mobile phone text message intervention (iSTEP) designed to increase moderate physical activity (PA), decrease sedentary behavior (SB), and promote a healthy Mediterranean-style diet (MedDiet) in persons living with HIV (PLWH). The investigators propose that participants who receive the iSTEP intervention will increase the amount of physical activity, improve their diet, show a reduction in risk factors for CVD, and exhibit improved neurocognitive performance. "",",Endocrinology,Cardiology,
"""https://clinicaltrials.gov/show/NCT04646785"",","""Mindfulness-based Cognitive Therapy for Patients With Inflammatory Bowel Disease"",",""" Considering the limited availability of psychosocial interventions for IBD, this study aims to investigate MBCT as an adjunctive treatment to treatment as usual to reduce psychological stress and improve sleep quality/regularity in patients with IBD who report elevated stress levels. The study will have a follow-up duration of 12 months from baseline. "",",Somnology,Psychiatry,
"""https://clinicaltrials.gov/show/NCT04186832"",","""Step Count Monitoring as a Measure of Physical Activity in Patients With Newly Diagnosed Glioma Undergoing Radiation Therapy"",",""" This trial studies the feasibility of monitoring step count as a measure of physical activity in patients with newly diagnosed glioma undergoing radiation therapy. Physical activity measured by step count may help to improve the quality of life and symptoms for patients with newly diagnosed glioma. "",",General Physiology,Oncology,
"""https://clinicaltrials.gov/show/NCT04183907"",","""Preventing Risk for Metabolic Syndrome in Workaholics: An Intervention"",",""" Given the serious nature of the health risks workaholics face, it is important to understand how the health risks of workaholics can be mitigated. Blue Mesa Health (BMH), partner in this research, has developed a digital lifestyle intervention program, Transform, that aims to prevent or delay the onset of type 2 diabetes through incremental changes to health behaviours. The program's participants work to improve their diet and physical activity levels with the guidance of a smartphone app and a remote health coach. The researchers designed a study to examine if Transform is particularly effective for workaholics as compared to non-workaholics. The goal of this study is to test the effectiveness of Transform in improving workaholics' and non-workaholics' health and work outcomes. "",",Endocrinology,,
"""https://clinicaltrials.gov/show/NCT05405803"",","""To Improve Depressive Symptoms Using a Web-App"",",""" This study is being done to answer a question on whether a Web App-based Lifestyle Physical Activity Promotion Program is effective in improving depressive symptom experience of midlife Korean American women (WPAPP-K). "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT05408494"",","""Engaging Men in Weight Loss With a Game-based mHealth and Neurotraining Program"",",""" Men in the United States have an exceptionally high prevalence of overweight and obesity, i.e., 71.3%, and 42% of men are currently attempting weight loss. However, men are dramatically underrepresented in weight loss programs. Attempts to modestly adapt standard weight loss programs have seen only minimal success. Mobile applications (mHealth apps) have attractive features, but have low male enrollment and poor efficacy as conventionally delivered. A gamified mHealth program offers the possibility of engaging men and enhancing efficacy given that (1) video gaming is highly appealing to men; (2) gamification features (e.g., digital rewards for attaining \""streaks\"" and milestones, competition) are known enhance enjoyment and motivation and facilitate desired behaviors; and (3) \""neurotraining\"" video games featuring repetitive action mechanics, adaptive difficulty, and feedback can train inhibitory control, a basic brain capacity to inhibit intrinsically-generated approach responses that is strongly linked to body mass and the consumption of high-calorie foods. This project evaluates long-term engagement and outcomes of a professionally-designed, game-based weight loss program. As such, 228 overweight men will be randomized to: (1) a 12-month mHealth weight loss program that includes digital self-monitoring, simplified and self-selected dietary targets, physical activity and a control (sham) non-game neurotraining, or (2) a fully-gamified version of this same program, comprised of a behavior change program featuring team-based competition, digital reinforcers for attainment of streaks and milestones, and an integrated neurotraining video game. Aims include evaluating the efficacy of the gamified program in terms of weight loss, diet and physical activity at 12 months, as well as evaluating hypothesized mediators (inhibitory control and engagement), (enjoyment and compliance) and moderators (baseline frequency of video game play and implicit preferences for Inhibitory Control Training-targeted foods). "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT05409664"",","""Moving Forward Together 4"",",""" This is a 3-month physical activity intervention aimed to increase moderate-intensity activity among previously inactive breast cancer survivors. Participants will be eligible if they are not currently active, and have recently been diagnosed with breast cancer. Upon eligibility, participants will be randomized into one of two groups. The intervention group will receive weekly guidance from a peer coach to increase their activity throughout the three month intervention. The control group will be encouraged to self-monitor their physical activity throughout the three month intervention. Both groups will receive a Fitbit. Peer coaches will be trained to deliver the physical activity program using a web-based platform; all calls will be virtual. Participants will be assessed before and after the intervention. "",",Oncology,General Physiology,
"""https://clinicaltrials.gov/show/NCT05402085"",","""N=1 Trials of Individual Variability in Post-prandial Glycemic Responses to Diets of Varying Macronutrient Composition"",",""" The key objective of this study is to identify the most suitable diet (i.e. high protein, high fat, low GI, high GI) for an individual. Importantly, we further seek to identify the biological determinants of inter-individual variability and to understand how these determinants affect blood glucose. The deep metabolic phenotyping, multi-omics profiling of each subject and fine-mapping of their glycemic responses to different diets will allow us to obtain preliminary data on the mechanistic basis underlying inter-individual dietary glycemic response. Data from this study will form the basis of large clinical trials, the development of novel foods, and/or novel technologies to alter the gut micro-biome for optimal blood glucose control. "",",Endocrinology,,
